GEO.id,GEO.id2,Geography,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over
0500000US48395,48395,"Robertson County, Texas",1045,1727,1780,2284,1232,1013,1765,774,516
0500000US48397,48397,"Rockwall County, Texas",4519,10028,13492,12718,5716,4431,6339,2879,1070
0500000US48399,48399,"Runnels County, Texas",683,1028,1154,1268,682,751,1159,626,381
0500000US48401,48401,"Rusk County, Texas",3511,7098,6720,7282,3755,3115,4544,2521,1015
0500000US48403,48403,"Sabine County, Texas",511,791,828,1282,933,672,1767,859,380
0500000US48405,48405,"San Augustine County, Texas",282,885,740,1157,639,663,1272,678,205
0500000US48407,48407,"San Jacinto County, Texas",1119,2682,3199,3432,2262,2151,3200,1706,338
0500000US48409,48409,"San Patricio County, Texas",4465,8627,8083,8418,4361,3303,5595,2856,966
0500000US48411,48411,"San Saba County, Texas",428,794,670,627,394,403,738,444,102
0500000US48413,48413,"Schleicher County, Texas",181,306,455,317,180,217,310,139,37
0500000US48415,48415,"Scurry County, Texas",1155,2429,2166,2196,1024,933,1331,769,313
0500000US48417,48417,"Shackelford County, Texas",130,297,409,466,232,259,311,217,43
0500000US48419,48419,"Shelby County, Texas",1844,2867,3007,3251,1658,1515,2323,1339,433
0500000US48421,48421,"Sherman County, Texas",125,420,401,489,169,210,209,124,59
0500000US48423,48423,"Smith County, Texas",16231,29317,25967,26878,13994,12279,18850,10854,4118
0500000US48425,48425,"Somervell County, Texas",509,942,1104,1131,591,569,969,396,221
0500000US48427,48427,"Starr County, Texas",5166,8014,7668,6774,2624,2604,3981,2343,703
0500000US48429,48429,"Stephens County, Texas",698,1252,1122,1215,556,644,999,533,245
0500000US48431,48431,"Sterling County, Texas",63,124,134,201,131,44,93,34,32
0500000US48433,48433,"Stonewall County, Texas",5,110,128,163,105,86,160,97,37
0500000US48435,48435,"Sutton County, Texas",222,498,434,515,265,175,407,196,45
0500000US48437,48437,"Swisher County, Texas",483,1189,848,778,382,477,701,449,217
0500000US48439,48439,"Tarrant County, Texas",133030,287528,270575,266684,116285,95517,119655,57284,22022
0500000US48441,48441,"Taylor County, Texas",14887,19268,14346,15067,7562,6922,9942,6323,2497
0500000US48443,48443,"Terrell County, Texas",20,88,148,78,29,56,98,98,53
0500000US48445,48445,"Terry County, Texas",734,1814,1391,1616,826,569,986,589,271
0500000US48447,48447,"Throckmorton County, Texas",86,108,114,257,99,124,219,140,66
0500000US48449,48449,"Titus County, Texas",2422,3897,4050,3964,1807,1626,2498,1327,500
0500000US48451,48451,"Tom Green County, Texas",10557,17896,12413,13426,6905,6725,9124,5544,2114
0500000US48453,48453,"Travis County, Texas",85338,227212,180130,145928,63380,54054,59809,26203,11071
0500000US48455,48455,"Trinity County, Texas",541,1273,1459,1851,995,1158,2091,1329,337
0500000US48457,48457,"Tyler County, Texas",1656,2561,2442,2637,1555,1383,2622,1251,562
0500000US48459,48459,"Upshur County, Texas",2237,4340,4690,5518,3046,2741,3953,2117,705
0500000US48461,48461,"Upton County, Texas",171,491,377,449,241,117,266,167,44
0500000US48463,48463,"Uvalde County, Texas",1980,3268,3128,2965,1213,1664,2420,1446,476
0500000US48465,48465,"Val Verde County, Texas",4026,6740,5765,5479,2236,2262,3676,2133,830
0500000US48467,48467,"Van Zandt County, Texas",2920,5109,6074,7280,3775,3774,6109,3379,1090
0500000US48469,48469,"Victoria County, Texas",6292,12360,10738,11123,5843,5335,7548,3881,1869
0500000US48471,48471,"Walker County, Texas",9844,9976,9727,9724,4537,3183,4612,2368,1003
0500000US48473,48473,"Waller County, Texas",5951,4728,4650,5481,3110,1996,3463,1225,693
